event_date,date,rel_day,open,high,low,close,volume,close_to_close_return_pct,gap_pct,intraday_return_pct,daily_range_pct,true_range,atr_14
2020-12-15,2020-12-01,-10,265.37,265.49,261.6,264.07,846984,,,-0.4898820514753029,1.4658778309530038,3.8899999999999864,
2020-12-15,2020-12-02,-9,262.13,263.055,260.18,261.27,684421,-1.060324913848605,-0.7346536903093868,-0.3280814862854361,1.096784038454202,3.8899999999999864,
2020-12-15,2020-12-03,-8,263.77,268.49,263.16,267.03,479729,2.20461591457113,0.9568645462548323,1.235925237896649,2.0206998521439075,7.220000000000027,
2020-12-15,2020-12-04,-7,271.165,271.23,266.305,267.13,426942,0.03744897577052119,1.5485151481107173,-1.488023896889357,1.8162373462651933,4.925000000000011,6.920714285714295
2020-12-15,2020-12-07,-6,265.74,265.93,262.75,263.96,470422,-1.1866881293752165,-0.5203458990004816,-0.6698276510875403,1.196658387897948,4.3799999999999955,6.839642857142863
2020-12-15,2020-12-08,-5,265.29,268.11,263.9,266.0,278017,0.7728443703591531,0.5038642218518112,0.2676316483847787,1.586942591126705,4.210000000000036,6.8760714285714375
2020-12-15,2020-12-09,-4,267.78,267.78,263.15,263.75,378949,-0.8458646616541353,0.6691729323308168,-1.5049667637612867,1.7290312943461035,4.6299999999999955,6.799642857142865
2020-12-15,2020-12-10,-3,262.225,266.035,261.26,264.95,243996,0.45497630331753125,-0.5781990521326927,1.0391839069501252,1.820955286490622,4.775000000000034,6.588214285714295
2020-12-15,2020-12-11,-2,263.88,265.23,262.51,264.53,322189,-0.1585204755614327,-0.4038497829779178,0.2463240867060699,1.0307715628316005,2.7200000000000273,5.887500000000013
2020-12-15,2020-12-14,-1,260.33,260.85,256.28,256.38,551649,-3.0809359996975685,-1.5877216194760477,-1.5173049590903809,1.7554642184919336,8.25,5.83107142857144
2020-12-15,2020-12-15,0,255.415,255.505,252.305,255.3,515857,-0.42124970746547474,-0.37639441454091715,-0.04502476361998343,1.2528629876867017,4.074999999999989,5.420714285714297
2020-12-15,2020-12-16,1,257.87,263.14,257.04,261.91,851255,2.5891108499804205,1.0066588327457866,1.5666808857176175,2.3655330205141993,7.839999999999975,5.550714285714292
2020-12-15,2020-12-17,2,264.665,264.83,260.34,264.4,596442,0.9507082585620832,1.0518880531480261,-0.10012657510439354,1.696484234787376,4.490000000000009,5.652500000000008
2020-12-15,2020-12-18,3,263.56,264.65,259.22,259.995,622200,-1.6660363086232879,-0.3177004538577818,-1.3526331765062976,2.060251935043235,5.42999999999995,5.051785714285716
2020-12-15,2020-12-21,4,255.17,260.38,254.75,260.38,468228,0.1480797707648189,-1.855804919325378,2.0417760708547275,2.2063722224399402,5.6299999999999955,5.176071428571431
2020-12-15,2020-12-22,5,257.64,258.2,255.43,255.92,295553,-1.7128811736692557,-1.052308164989634,-0.6675981990374161,1.0751436112404837,4.949999999999989,5.251785714285717
2020-12-15,2020-12-23,6,255.35,257.31,252.57,256.11,270337,0.07424195060957571,-0.22272585182869384,0.29763070295673366,1.8562757000195846,4.740000000000009,5.074642857142858
2020-12-15,2020-12-24,7,228.47,229.89,211.25,221.84,7002747,-13.380969114833475,-10.792237710358837,-2.9019127237711713,8.158620387797079,44.860000000000014,7.927142857142859
2020-12-15,2020-12-28,8,216.82,224.96,215.37,222.57,1339587,0.3290659935088306,-2.2628921745402137,2.651969375518864,4.4230237063001585,9.590000000000003,8.299285714285716
2020-12-15,2020-12-29,9,231.655,239.17,229.81,236.32,1559367,6.177831693399829,4.0818618861481815,2.0137704776499503,4.040491247760672,16.599999999999994,9.184285714285712
2020-12-15,2020-12-30,10,243.13,243.13,234.67,238.55,628161,0.9436357481381256,2.8816858496953297,-1.8837658865627376,3.4796199564019283,8.460000000000008,9.457857142857142
2021-12-15,2021-12-01,-10,128.31,129.11,121.93,122.4,1105740,,,-4.606032265606731,5.595822617099218,7.180000000000007,6.008928571428572
2021-12-15,2021-12-02,-9,123.25,124.97,119.41,122.02,1790246,-0.31045751633987717,0.6944444444444398,-0.9979716024340803,4.511156186612578,5.560000000000002,6.003928571428573
2021-12-15,2021-12-03,-8,117.75,118.09,108.74,111.87,2237021,-8.318308474020645,-3.4994263235535126,-4.993630573248404,7.940552016985144,13.280000000000001,6.6382142857142865
2021-12-15,2021-12-06,-7,113.5,123.815,113.46,123.595,2585307,10.48091534817198,1.4570483597032229,8.894273127753303,9.123348017621149,11.944999999999993,7.314642857142858
2021-12-15,2021-12-07,-6,129.06,129.06,123.55,125.56,2811845,1.5898701403778497,4.421699906954168,-2.7119169378583603,4.26933209359988,5.510000000000005,7.472500000000003
2021-12-15,2021-12-08,-5,123.49,126.935,121.38,125.07,1223350,-0.39025167250717513,-1.648614208346613,1.2794558263827016,4.498339946554383,5.555000000000007,7.348928571428575
2021-12-15,2021-12-09,-4,124.4,127.39,123.225,123.93,1170927,-0.911489565843117,-0.5357000079955125,-0.3778135048231502,3.348070739549844,4.165000000000006,6.240357142857147
2021-12-15,2021-12-10,-3,123.32,125.2,122.785,125.01,964771,0.8714596949891052,-0.4922133462438584,1.3704184236133734,1.9583198183587467,2.4150000000000063,6.05571428571429
2021-12-15,2021-12-13,-2,122.97,123.17,119.78,122.34,568410,-2.135829133669308,-1.6318694504439692,-0.5123200780678178,2.756769943888754,5.230000000000004,6.038571428571433
2021-12-15,2021-12-14,-1,120.9,127.64,120.43,126.565,628071,3.4534902730096406,-1.1770475723393803,4.685690653432582,5.963606286186926,7.209999999999994,6.302142857142861
2021-12-15,2021-12-15,0,122.63,123.58,117.81,122.48,1035017,-3.2275905661122692,-3.109074388654053,-0.12231917149147149,4.7052107967055345,8.754999999999995,6.535000000000003
2021-12-15,2021-12-16,1,122.74,125.67,118.92,120.38,791317,-1.714565643370353,0.21227955584584493,-1.9227635652598984,5.4994296887730165,6.75,6.63964285714286
2021-12-15,2021-12-17,2,119.44,122.78,117.94,122.26,564303,1.56172121614887,-0.7808606080744291,2.361018084393844,4.052243804420633,4.840000000000003,6.70464285714286
2021-12-15,2021-12-20,3,118.51,118.65,113.7,115.01,661472,-5.929985277277932,-3.0672337641092753,-2.9533372711163612,4.176862712007428,8.560000000000002,6.925357142857145
2021-12-15,2021-12-21,4,116.85,122.965,116.85,122.965,756525,6.916789844361358,1.5998608816624547,5.233204963628592,5.233204963628592,7.954999999999998,6.980714285714287
2021-12-15,2021-12-22,5,117.28,118.64,115.22,117.8,724195,-4.200382222583667,-4.623266783231003,0.4433833560709379,2.916098226466577,7.7450000000000045,7.136785714285716
2021-12-15,2021-12-23,6,117.03,119.565,115.4,118.72,876517,0.7809847198641781,-0.6536502546689271,1.4440741690164896,3.5589165171323525,4.164999999999992,6.485714285714287
2021-12-15,2021-12-27,7,117.76,121.74,116.12,116.57,542589,-1.8109838274932664,-0.8086253369272184,-1.0105298913043579,4.772418478260861,5.61999999999999,6.033928571428572
2021-12-15,2021-12-28,8,116.27,116.32,114.48,114.785,298873,-1.5312687655485946,-0.257356095050182,-1.2771996215704822,1.5825234368280632,2.089999999999989,5.789642857142857
2021-12-15,2021-12-29,9,113.535,114.18,110.42,112.05,516189,-2.382715511608659,-1.088992464172148,-1.307966706302021,3.311754084643507,4.364999999999995,5.704642857142856
2021-12-15,2021-12-30,10,112.73,124.26,112.44,122.99,657009,9.763498438197232,0.6068719321731431,9.10139270824092,10.48523019604365,12.210000000000008,6.279285714285713
2022-12-15,2022-12-01,-10,84.48,87.57,84.38,85.92,604069,,,1.7045454545454517,3.776041666666664,3.1899999999999977,4.709999999999999
2022-12-15,2022-12-02,-9,86.09,91.82,86.06,89.96,875457,4.702048417132207,0.19785847299813977,4.495295620861877,6.690672551980474,5.8999999999999915,4.890714285714283
2022-12-15,2022-12-05,-8,92.81,92.81,89.66,90.47,560190,0.5669186305024512,3.1680746998666174,-2.5212800344790467,3.3940308156448715,3.1500000000000057,4.885714285714284
2022-12-15,2022-12-06,-7,91.935,92.56,89.22,91.4,421957,1.0279650712943593,1.6193213219851923,-0.5819328873660702,3.633001577201287,3.3400000000000034,4.480714285714285
2022-12-15,2022-12-07,-6,87.06,89.25,86.65,88.38,489682,-3.304157549234147,-4.748358862144424,1.5161957270847612,2.9864461291063567,4.75,4.607142857142856
2022-12-15,2022-12-08,-5,91.86,94.325,91.11,94.17,769342,6.551255940257985,3.9375424304141253,2.514696276943177,3.4998911386893137,5.945000000000007,4.351071428571428
2022-12-15,2022-12-09,-4,93.3,93.72,91.225,91.42,482077,-2.9202506105978547,-0.9238611022618717,-2.015005359056801,2.6741693461950744,2.9450000000000074,4.243571428571428
2022-12-15,2022-12-12,-3,90.08,90.84,87.75,89.5,288765,-2.1001968934587634,-1.4657624152264312,-0.6438721136767299,3.4302841918294886,3.6700000000000017,4.2178571428571425
2022-12-15,2022-12-13,-2,93.56,94.95,90.33,91.41,489113,2.134078212290499,4.536312849162013,-2.297990594271062,4.938007695596413,5.450000000000003,4.439285714285715
2022-12-15,2022-12-14,-1,90.86,91.225,89.53,91.0,454559,-0.44852860737336897,-0.6016847172081798,0.1540832049306632,1.865507373981943,1.8799999999999955,4.372857142857143
2022-12-15,2022-12-15,0,93.13,94.01,86.06,86.29,716569,-5.175824175824169,2.3406593406593355,-7.34457210351121,8.536454418554712,7.950000000000003,4.691428571428572
2022-12-15,2022-12-16,1,88.88,90.515,86.61,86.76,640301,0.5446749333642354,3.0015065476880163,-2.3852385238523746,4.393564356435645,4.224999999999994,4.7996428571428575
2022-12-15,2022-12-19,2,89.71,89.77,86.535,87.18,497824,0.4840940525587848,3.4001844167819137,-2.820198417121823,3.6060639839482773,3.2349999999999994,4.672142857142858
2022-12-15,2022-12-20,3,85.04,87.18,85.04,85.91,225157,-1.456756136728619,-2.4546914429915123,1.023047977422378,2.5164628410159926,2.1400000000000006,4.126428571428572
2022-12-15,2022-12-21,4,85.98,88.37,85.495,87.76,555020,2.1534163659643912,0.08148061925271492,2.070248895091883,3.343800883926494,2.875,4.103928571428573
2022-12-15,2022-12-22,5,88.9,89.68,86.68,87.93,380843,0.1937101185050156,1.298997265268916,-1.0911136107986488,3.3745781777277837,3.0,3.896785714285716
2022-12-15,2022-12-23,6,87.85,88.61,85.54,85.67,266696,-2.5702263163880414,-0.09098146252702434,-2.4815025611838277,3.494593056346037,3.069999999999993,3.891071428571429
2022-12-15,2022-12-27,7,86.45,90.68,86.23,89.87,470508,4.902532975370611,0.9104704097116856,3.956043956043958,5.147484094852519,5.010000000000005,4.010357142857144
2022-12-15,2022-12-28,8,89.04,89.975,86.49,87.19,424934,-2.9820852342272244,-0.9235562479136511,-2.0777178796046814,3.913971248876908,3.4849999999999994,3.920000000000001
2022-12-15,2022-12-29,9,87.61,89.5,87.13,89.11,266029,2.2020873953435047,0.48170661773139317,1.7121333181143708,2.7051706426207107,2.3700000000000045,3.6646428571428578
2022-12-15,2022-12-30,10,87.52,89.39,87.435,88.07,239330,-1.167096846594104,-1.784311525081364,0.6284277879341832,2.2337751371115155,1.9549999999999983,3.593928571428571
2023-12-15,2023-12-01,-10,72.93,74.135,72.135,73.97,582673,,,1.426024955436709,2.742355683532154,2.7449999999999903,2.447499999999997
2023-12-15,2023-12-04,-9,72.67,73.58,72.5,73.005,419607,-1.3045829390293409,-1.7574692442882214,0.46098802807209815,1.4861703591578344,1.4699999999999989,2.4664285714285676
2023-12-15,2023-12-05,-8,72.0,72.7,71.93,72.39,394101,-0.8424080542428531,-1.3766180398602774,0.5416666666666675,1.0694444444444389,1.0749999999999886,2.3821428571428527
2023-12-15,2023-12-06,-7,72.35,72.95,71.495,71.51,652706,-1.21563751899433,-0.05525625086338756,-1.161022805805099,2.011057360055285,1.4549999999999983,2.204642857142853
2023-12-15,2023-12-07,-6,71.51,72.365,71.46,72.32,403543,1.1327087120682253,0.0,1.1327087120682253,1.2655572647182227,0.9050000000000011,1.640357142857139
2023-12-15,2023-12-08,-5,72.025,72.435,71.83,72.14,440174,-0.24889380530972433,-0.407909292035381,0.15966678236722648,0.8399861159319736,0.605000000000004,1.5167857142857113
2023-12-15,2023-12-11,-4,70.35,71.61,70.08,71.37,340597,-1.0673690047130524,-2.481286387579715,1.4498933901919122,2.1748400852878484,2.0600000000000023,1.5117857142857116
2023-12-15,2023-12-12,-3,71.385,71.955,70.93,71.4,300148,0.042034468263978046,0.021017234131989023,0.021012817818870305,1.4358758842894046,1.0249999999999915,1.4703571428571405
2023-12-15,2023-12-13,-2,70.93,71.475,70.12,71.45,403018,0.0700280112044778,-0.6582633053221272,0.7331171577611673,1.9103341322430418,1.3549999999999898,1.4585714285714257
2023-12-15,2023-12-14,-1,71.47,73.24,71.47,72.53,501670,1.5115465360391858,0.027991602519238653,1.4831397789282248,2.476563593115987,1.789999999999992,1.5282142857142824
2023-12-15,2023-12-15,0,74.05,75.54,73.35,74.52,465845,2.7436922652695364,2.09568454432648,0.6347062795408493,2.957461174881853,3.010000000000005,1.641071428571426
2023-12-15,2023-12-18,1,74.01,74.22,73.225,73.82,260363,-0.9393451422436968,-0.684380032206107,-0.25672206458588287,1.344412917173361,1.2950000000000017,1.571785714285712
2023-12-15,2023-12-19,2,74.33,76.01,74.27,75.39,387935,2.126794906529406,0.6908696830127407,1.426072918068078,2.340912148526852,2.190000000000012,1.5632142857142841
2023-12-15,2023-12-20,3,74.59,75.27,73.33,73.35,310424,-2.7059291683247197,-1.0611486934606673,-1.6624212360906407,2.600884837109529,2.0600000000000023,1.6457142857142841
2023-12-15,2023-12-21,4,74.86,76.29,74.37,76.27,397228,3.9809134287661916,2.0586230402181394,1.88351589633983,2.564787603526585,2.940000000000012,1.6596428571428572
2023-12-15,2023-12-22,5,74.47,75.66,74.47,75.28,341894,-1.2980201914251932,-2.360036711682178,1.0876863166375752,1.597958909628035,1.7999999999999972,1.6832142857142856
2023-12-15,2023-12-26,6,76.03,76.95,75.74,75.84,202121,0.7438894792773676,0.9962805526036131,-0.2499013547283937,1.591477048533484,1.6700000000000017,1.7257142857142864
2023-12-15,2023-12-27,7,76.13,76.425,75.42,76.12,310347,0.3691983122362884,0.3823839662447152,-0.013135426244569691,1.3201103375804486,1.0049999999999955,1.6935714285714292
2023-12-15,2023-12-28,8,77.28,77.78,76.99,77.27,267996,1.5107724645296785,1.5239096163951609,-0.012939958592139126,1.022256728778476,1.6599999999999966,1.7475000000000003
2023-12-15,2023-12-29,9,77.17,77.63,76.83,77.5,188379,0.29765756438463054,-0.1294163323411341,0.4276273163146278,1.036672281974857,0.7999999999999972,1.7614285714285711
2023-12-15,2024-01-02,10,76.03,76.07,74.515,74.72,472373,-3.5870967741935496,-1.8967741935483857,-1.723004077337896,2.0452452979087106,2.9849999999999994,1.8274999999999995
2024-12-18,2024-12-04,-10,85.71,85.86,84.27,84.94,357196,,,-0.898378252245941,1.8550927546377358,1.5900000000000034,1.9732142857142858
2024-12-18,2024-12-05,-9,84.795,85.06,83.93,84.14,320571,-0.9418412997409904,-0.1707087355780504,-0.7724512058494029,1.3326257444424736,1.1299999999999955,1.9139285714285716
2024-12-18,2024-12-06,-8,86.015,86.68,85.905,85.94,263547,2.139291656762535,2.2284288091276445,-0.08719409405336609,0.901005638551422,2.5400000000000063,1.8553571428571434
2024-12-18,2024-12-09,-7,91.99,94.11,91.85,92.35,897051,7.458692110774956,7.039795205957641,0.39134688553103536,2.456788781389287,8.170000000000002,2.321785714285715
2024-12-18,2024-12-10,-6,89.785,90.51,89.5,89.83,270346,-2.7287493232268503,-2.777476989713046,0.05011973046722916,1.1249095060422176,2.8499999999999943,2.3432142857142852
2024-12-18,2024-12-11,-5,88.895,89.165,88.0,89.02,241247,-0.9017032171880244,-1.0408549482355585,0.14061533269587717,1.3105349007255822,1.8299999999999983,2.4032142857142853
2024-12-18,2024-12-12,-4,88.95,89.98,88.5,89.25,275333,0.2583689058638553,-0.07863401482812085,0.33726812816188545,1.6638560989319886,1.480000000000004,2.4010714285714294
2024-12-18,2024-12-13,-3,88.15,88.39,87.24,87.84,366934,-1.5798319327731056,-1.2324929971988732,-0.3516732841747048,1.3045944412932564,2.010000000000005,2.3357142857142867
2024-12-18,2024-12-16,-2,85.96,86.87,85.89,86.03,416089,-2.060564663023682,-2.140255009107479,0.08143322475570892,1.1400651465798093,1.9500000000000028,2.280000000000001
2024-12-18,2024-12-17,-1,85.635,87.59,85.555,87.15,302920,1.301871440195286,-0.45914215971172384,1.7691364512173766,2.3763648041104646,2.0349999999999966,2.3421428571428575
2024-12-18,2024-12-18,0,86.55,87.215,84.84,84.98,409956,-2.4899598393574314,-0.6884681583476862,-1.813980358174458,2.7440785673021377,2.375,2.3439285714285725
2024-12-18,2024-12-19,1,84.99,85.37,84.24,84.3,390287,-0.8001882795952068,0.011767474699918692,-0.8118602188492738,1.3295681844923046,1.1300000000000097,2.317857142857144
2024-12-18,2024-12-20,2,82.15,82.93,81.7,82.33,585705,-2.3368920521945418,-2.5504151838671314,0.21911138161898064,1.4972611077297673,2.5999999999999943,2.3528571428571436
2024-12-18,2024-12-23,3,82.785,84.01,82.77,83.92,163698,1.9312522774201428,0.5526539536013583,1.371021320287498,1.4978558917678435,1.6800000000000068,2.38357142857143
2024-12-18,2024-12-24,4,85.695,85.89,85.15,85.58,139698,1.9780743565300245,2.11510962821734,-0.13419686096037678,0.8635276270494134,1.9699999999999989,2.410714285714287
2024-12-18,2024-12-26,5,85.705,87.265,85.705,86.1,275635,0.6076186024772097,0.14606216405702266,0.460883262353417,1.820197188028706,1.6850000000000023,2.4503571428571442
2024-12-18,2024-12-27,6,84.94,85.27,84.295,85.06,267712,-1.2078977932636377,-1.3472706155632947,0.1412761949611544,1.1478690840593293,1.8049999999999926,2.3978571428571436
2024-12-18,2024-12-30,7,84.17,84.69,83.53,84.14,306020,-1.0815894662591132,-1.0463202445332713,-0.03564215278602963,1.378163241059756,1.5300000000000011,1.9235714285714292
2024-12-18,2024-12-31,8,84.495,85.345,84.44,84.81,219184,0.7962918944616136,0.42191585452817204,0.3728031244452307,1.0710692940410689,1.2049999999999983,1.8060714285714294
2024-12-18,2025-01-02,9,84.31,85.42,84.26,84.97,277809,0.18865699799551539,-0.589553118735998,0.7828252876289842,1.3758747479539752,1.1599999999999966,1.7582142857142864
2024-12-18,2025-01-03,10,85.08,85.54,84.765,85.54,252052,0.6708249970577937,0.12945745557255434,0.5406676069581664,0.910907381288206,0.7750000000000057,1.7078571428571436
