ticker,session_date,direction,atr14_prev,session_open,session_close,close_from_open_atr,early_expansion_atr,early_expansion_bucket,expansion_peak_time,trend_confirm_time,cloud_pullback,pullback_time,minutes_peak_to_pullback,ema21_break,ema21_break_time,tod_bucket,new_extreme_after_break,structural_failure,close_ge_1atr_after_break,favorable_close_after_break,return_break_to_extreme,return_break_to_close,minutes_break_to_new_extreme,minutes_break_to_close,exclude_reason
SPY,2024-01-31,short,4.039642857142861,488.44,482.955,1.357793298558927,0.22279197241622614,<0.50,2024-01-31 08:55:00-06:00,2024-01-31 08:55:00-06:00,True,2024-01-31 10:00:00-06:00,65.0,True,2024-01-31 11:00:00-06:00,midday,True,False,True,True,0.008590959477768202,0.008590959477768202,120.0,235.0,
SPY,2024-02-01,long,4.072142857142865,484.73,489.26,1.1124364146640853,0.23820382389053782,<0.50,2024-02-01 08:45:00-06:00,2024-02-01 09:05:00-06:00,True,2024-02-01 09:05:00-06:00,20.0,True,2024-02-01 09:20:00-06:00,morning,True,False,True,True,0.008004120525366965,0.008004120525366965,5.0,340.0,
SPY,2024-04-04,short,4.431785714285719,523.63,513.12,2.371504553146905,0.23015553227495736,<0.50,2024-04-04 08:55:00-05:00,2024-04-04 08:55:00-05:00,True,2024-04-04 09:25:00-05:00,30.0,True,2024-04-04 10:30:00-05:00,midday,True,False,True,True,0.0192136647507196,0.01852507148936974,135.0,265.0,
SPY,2024-04-15,short,5.9810714285714095,515.21,504.4,1.8073684839075812,0.15214665313191839,<0.50,2024-04-15 08:35:00-05:00,2024-04-15 09:00:00-05:00,True,2024-04-15 09:00:00-05:00,25.0,True,2024-04-15 10:50:00-05:00,midday,True,False,True,True,0.017509803539028857,0.015939286341377902,30.0,250.0,
SPY,2024-04-30,short,6.794285714285711,508.33,501.06,1.0700168208578615,0.017661900756939283,<0.50,2024-04-30 08:30:00-05:00,2024-04-30 08:35:00-05:00,True,2024-04-30 08:35:00-05:00,5.0,True,2024-04-30 08:40:00-05:00,morning,True,False,True,True,0.016410820148404094,0.016410820148404094,50.0,380.0,
SPY,2024-05-23,short,3.630357142857162,532.96,525.96,1.9281849483521787,0.9393015248401553,0.80-1.00,2024-05-23 08:50:00-05:00,2024-05-23 08:50:00-05:00,True,2024-05-23 09:10:00-05:00,20.0,True,2024-05-23 10:05:00-05:00,midday,True,False,True,True,0.010922112802148748,0.008698110540451413,135.0,290.0,
SPY,2024-07-02,long,4.214999999999999,543.74,548.97,1.240806642941879,0.44128113879003894,<0.50,2024-07-02 08:40:00-05:00,2024-07-02 08:40:00-05:00,True,2024-07-02 08:50:00-05:00,10.0,True,2024-07-02 09:20:00-05:00,morning,True,False,True,True,0.007755922495846722,0.007755922495846722,10.0,335.0,
SPY,2024-07-10,long,3.8107142857142953,557.13,561.01,1.0181818181818145,0.05248359887536325,<0.50,2024-07-10 08:45:00-05:00,2024-07-10 08:45:00-05:00,False,,,False,,,False,,,,,,,,
SPY,2024-07-11,short,3.922857142857148,561.43,556.42,1.277130371449377,0.05098324836123528,<0.50,2024-07-11 08:40:00-05:00,2024-07-11 09:10:00-05:00,True,2024-07-11 09:10:00-05:00,30.0,True,2024-07-11 12:25:00-05:00,midday,True,False,True,True,0.0021989857739084014,0.0011757842301307478,20.0,150.0,
SPY,2024-07-18,short,5.135000000000007,558.61,552.8,1.1314508276533692,0.17624148003894285,<0.50,2024-07-18 08:45:00-05:00,2024-07-18 08:45:00-05:00,True,2024-07-18 08:50:00-05:00,5.0,True,2024-07-18 08:55:00-05:00,morning,True,False,True,False,0.014834166897798274,0.010816952822339061,35.0,360.0,
SPY,2024-07-24,short,5.8524999999999965,548.8,541.21,1.2968816744980645,0.4177701836821765,<0.50,2024-07-24 08:55:00-05:00,2024-07-24 08:55:00-05:00,True,2024-07-24 09:55:00-05:00,60.0,True,2024-07-24 12:05:00-05:00,midday,True,False,True,True,0.007848068732559806,0.0064436774856807,75.0,170.0,
SPY,2024-08-01,short,8.090357142857133,552.59,543.18,1.1631130534587146,0.032137023793756915,<0.50,2024-08-01 08:30:00-05:00,2024-08-01 08:35:00-05:00,True,2024-08-01 08:35:00-05:00,5.0,True,2024-08-01 08:40:00-05:00,morning,True,False,True,True,0.027316492670525192,0.020609076648455786,25.0,375.0,
SPY,2024-09-03,short,6.334285714285727,560.475,552.16,1.3126973387460592,0.3567884528642288,<0.50,2024-09-03 08:50:00-05:00,2024-09-03 08:50:00-05:00,True,2024-09-03 09:00:00-05:00,10.0,True,2024-09-03 12:20:00-05:00,midday,True,False,True,True,0.011245254502599904,0.006531243815110016,20.0,160.0,
SPY,2024-10-31,short,5.214999999999999,575.5,570.17,1.0220517737296342,0.4419942473633654,<0.50,2024-10-31 08:50:00-05:00,2024-10-31 08:50:00-05:00,True,2024-10-31 10:20:00-05:00,90.0,True,2024-10-31 11:10:00-05:00,midday,True,False,True,True,0.005293227293804697,0.002301022774001163,110.0,230.0,
SPY,2024-11-05,long,5.415714285714289,570.68,576.78,1.1263518860459016,0.6148773410709647,0.60-0.70,2024-11-05 08:55:00-06:00,2024-11-05 08:55:00-06:00,True,2024-11-05 09:50:00-06:00,55.0,True,2024-11-05 12:10:00-06:00,midday,True,False,True,True,0.002163054336967388,0.002093558615297619,165.0,170.0,
SPY,2024-12-18,short,4.637857142857148,603.975,586.28,3.815339596488533,0.10026182042199967,<0.50,2024-12-18 08:35:00-06:00,2024-12-18 10:15:00-06:00,True,2024-12-18 10:15:00-06:00,100.0,True,2024-12-18 10:25:00-06:00,midday,True,False,True,True,0.03289082623340592,0.031966184532065275,160.0,275.0,
SPY,2024-12-19,short,4.8074999999999966,591.355,586.12,1.0889235569422813,0.31409256370254646,<0.50,2024-12-19 08:55:00-06:00,2024-12-19 08:55:00-06:00,True,2024-12-19 09:10:00-06:00,15.0,True,2024-12-19 10:20:00-06:00,midday,True,False,True,True,0.007763948861230926,0.007501481669629922,70.0,275.0,
SPY,2025-02-27,short,6.458928571428568,596.88,585.03,1.8346696157036264,0.7323196018800143,0.70-0.80,2025-02-27 08:55:00-06:00,2025-02-27 08:55:00-06:00,True,2025-02-27 09:15:00-06:00,20.0,True,2025-02-27 09:20:00-06:00,morning,True,False,True,True,0.01852473602041344,0.017895213953566587,250.0,335.0,
SPY,2025-03-03,short,7.672500000000006,596.18,584.43,1.5314434669273367,0.47311827956989155,<0.50,2025-03-03 08:55:00-06:00,2025-03-03 08:55:00-06:00,True,2025-03-03 09:20:00-06:00,25.0,True,2025-03-03 09:40:00-06:00,morning,True,False,True,False,0.025426434753382063,0.01784723972775398,145.0,320.0,
SPY,2025-04-02,long,9.191785714285711,555.08,564.63,1.0389711310564511,0.5091502506119542,0.50-0.60,2025-04-02 08:50:00-05:00,2025-04-02 08:50:00-05:00,True,2025-04-02 09:00:00-05:00,10.0,True,2025-04-02 12:40:00-05:00,afternoon,False,True,True,True,0.001957311132760638,0.00014170578336735617,,135.0,
SPY,2025-04-07,long,14.459642857142844,489.14,506.6,1.2074987032874787,0.4847975893496676,<0.50,2025-04-07 08:55:00-05:00,2025-04-07 08:55:00-05:00,True,2025-04-07 09:10:00-05:00,15.0,True,2025-04-07 09:35:00-05:00,morning,False,True,True,False,0.03293122292838923,0.025381532607375662,,325.0,
SPY,2025-04-08,short,16.298214285714273,521.95,496.6,1.5553851210693572,0.2552426865344634,<0.50,2025-04-08 08:35:00-05:00,2025-04-08 08:35:00-05:00,False,,,False,,,False,,,,,,,,
SPY,2025-04-09,long,19.53678571428571,494.72,543.7,2.5070654260278245,0.3726303859020516,<0.50,2025-04-09 08:40:00-05:00,2025-04-09 08:40:00-05:00,True,2025-04-09 08:45:00-05:00,5.0,True,2025-04-09 09:10:00-05:00,morning,True,False,True,True,0.09916598758538812,0.09397478847875741,170.0,350.0,
SPY,2025-07-15,short,4.454642857142874,627.53,622.19,1.1987492984847041,0.4332558325983997,<0.50,2025-07-15 08:55:00-05:00,2025-07-15 08:55:00-05:00,True,2025-07-15 09:10:00-05:00,15.0,True,2025-07-15 10:40:00-05:00,midday,True,False,True,True,0.004878985171084342,0.00470302177147144,55.0,255.0,
SPY,2025-07-31,short,4.460357142857147,639.46,631.9,1.6949315397549962,0.39682920970453556,<0.50,2025-07-31 08:45:00-05:00,2025-07-31 08:45:00-05:00,True,2025-07-31 08:50:00-05:00,5.0,True,2025-07-31 08:55:00-05:00,morning,True,False,True,True,0.01357395302286314,0.01182247521346145,55.0,360.0,
SPY,2025-10-01,long,4.738928571428581,663.195,668.3,1.077247720250185,0.4600195945436617,<0.50,2025-10-01 08:40:00-05:00,2025-10-01 08:40:00-05:00,True,2025-10-01 08:45:00-05:00,5.0,True,2025-10-01 08:50:00-05:00,morning,True,False,True,True,0.008246786012848452,0.006635085367414987,30.0,370.0,
SPY,2025-11-20,short,9.888928571428567,672.945,652.39,2.0785871645779985,0.04702228321716529,<0.50,2025-11-20 08:30:00-06:00,2025-11-20 09:05:00-06:00,True,2025-11-20 09:05:00-06:00,35.0,True,2025-11-20 09:15:00-06:00,morning,True,False,True,True,0.032818504176495907,0.032076675420246,45.0,345.0,
SPY,2025-12-17,short,5.713214285714295,679.77,671.9,1.3775082828030243,0.371069575545415,<0.50,2025-12-17 08:45:00-06:00,2025-12-17 08:45:00-06:00,True,2025-12-17 08:55:00-06:00,10.0,True,2025-12-17 11:20:00-06:00,midday,True,False,True,True,0.005636995281516359,0.004599965926178351,60.0,220.0,
