ticker,dataset,rows,path,status
AA,1D,565,AA_1D.csv,ok
AA,5Min,43248,AA_5Min.csv,ok
AAL,1D,565,AAL_1D.csv,ok
AAL,5Min,44325,AAL_5Min.csv,ok
AAPL,1D,565,AAPL_1D.csv,ok
AAPL,5Min,44385,AAPL_5Min.csv,ok
ABBV,1D,565,ABBV_1D.csv,ok
ABBV,5Min,42774,ABBV_5Min.csv,ok
ABNB,1D,565,ABNB_1D.csv,ok
ABNB,5Min,42967,ABNB_5Min.csv,ok
ACHR,1D,565,ACHR_1D.csv,ok
ACHR,5Min,44774,ACHR_5Min.csv,ok
AEO,1D,565,AEO_1D.csv,ok
AEO,5Min,43176,AEO_5Min.csv,ok
AFRM,1D,565,AFRM_1D.csv,ok
AFRM,5Min,42993,AFRM_5Min.csv,ok
AI,1D,565,AI_1D.csv,ok
AI,5Min,41564,AI_5Min.csv,ok
AIQ,1D,565,AIQ_1D.csv,ok
AIQ,5Min,21062,AIQ_5Min.csv,ok
AIS,1D,329,AIS_1D.csv,ok
AIS,5Min,0,,error: 't'
ALAB,1D,511,ALAB_1D.csv,ok
ALAB,5Min,0,,error: 't'
AMD,1D,565,AMD_1D.csv,ok
AMD,5Min,44520,AMD_5Min.csv,ok
AMZN,1D,565,AMZN_1D.csv,ok
AMZN,5Min,44185,AMZN_5Min.csv,ok
ANF,1D,565,ANF_1D.csv,ok
ANF,5Min,38275,ANF_5Min.csv,ok
APLD,1D,565,APLD_1D.csv,ok
APLD,5Min,42699,APLD_5Min.csv,ok
APP,1D,565,APP_1D.csv,ok
APP,5Min,42844,APP_5Min.csv,ok
ARKK,1D,565,ARKK_1D.csv,ok
ARKK,5Min,42860,ARKK_5Min.csv,ok
ARKQ,1D,565,ARKQ_1D.csv,ok
ARKQ,5Min,6563,ARKQ_5Min.csv,ok
ARKX,1D,565,ARKX_1D.csv,ok
ARKX,5Min,7930,ARKX_5Min.csv,ok
ARM,1D,565,ARM_1D.csv,ok
ARM,5Min,42531,ARM_5Min.csv,ok
ASML,1D,565,ASML_1D.csv,ok
ASML,5Min,32342,ASML_5Min.csv,ok
ASTS,1D,565,ASTS_1D.csv,ok
ASTS,5Min,41159,ASTS_5Min.csv,ok
AVGO,1D,565,AVGO_1D.csv,ok
AVGO,5Min,42914,AVGO_5Min.csv,ok
BA,1D,565,BA_1D.csv,ok
BA,5Min,43082,BA_5Min.csv,ok
BABA,1D,565,BABA_1D.csv,ok
BABA,5Min,44111,BABA_5Min.csv,ok
BAC,1D,565,BAC_1D.csv,ok
BAC,5Min,43735,BAC_5Min.csv,ok
BE,1D,565,BE_1D.csv,ok
BE,5Min,43166,BE_5Min.csv,ok
BIDU,1D,565,BIDU_1D.csv,ok
BIDU,5Min,40631,BIDU_5Min.csv,ok
BLSH,1D,161,BLSH_1D.csv,ok
BLSH,5Min,0,,error: 't'
BROS,1D,565,BROS_1D.csv,ok
BROS,5Min,40931,BROS_5Min.csv,ok
BRZU,1D,565,BRZU_1D.csv,ok
BRZU,5Min,1725,BRZU_5Min.csv,ok
BULL,1D,565,BULL_1D.csv,ok
BULL,5Min,0,,error: 't'
CASY,1D,565,CASY_1D.csv,ok
CASY,5Min,17793,CASY_5Min.csv,ok
CAT,1D,565,CAT_1D.csv,ok
CAT,5Min,40331,CAT_5Min.csv,ok
CCL,1D,565,CCL_1D.csv,ok
CCL,5Min,43776,CCL_5Min.csv,ok
CDE,1D,565,CDE_1D.csv,ok
CDE,5Min,42349,CDE_5Min.csv,ok
CELH,1D,565,CELH_1D.csv,ok
CELH,5Min,43248,CELH_5Min.csv,ok
CIFR,1D,565,CIFR_1D.csv,ok
CIFR,5Min,42732,CIFR_5Min.csv,ok
CL,1D,565,CL_1D.csv,ok
CL,5Min,43098,CL_5Min.csv,ok
CLF,1D,565,CLF_1D.csv,ok
CLF,5Min,43505,CLF_5Min.csv,ok
CLOU,1D,565,CLOU_1D.csv,ok
CLOU,5Min,9495,CLOU_5Min.csv,ok
CLSK,1D,565,CLSK_1D.csv,ok
CLSK,5Min,45207,CLSK_5Min.csv,ok
COIN,1D,565,COIN_1D.csv,ok
COIN,5Min,43412,COIN_5Min.csv,ok
COP,1D,565,COP_1D.csv,ok
COP,5Min,43283,COP_5Min.csv,ok
COST,1D,565,COST_1D.csv,ok
COST,5Min,33383,COST_5Min.csv,ok
CPNG,1D,565,CPNG_1D.csv,ok
CPNG,5Min,43401,CPNG_5Min.csv,ok
CRCL,1D,208,CRCL_1D.csv,ok
CRCL,5Min,0,,error: 't'
CRDO,1D,565,CRDO_1D.csv,ok
CRDO,5Min,41280,CRDO_5Min.csv,ok
CRWD,1D,565,CRWD_1D.csv,ok
CRWD,5Min,40227,CRWD_5Min.csv,ok
CRWV,1D,255,CRWV_1D.csv,ok
CRWV,5Min,0,,error: 't'
CSCO,1D,565,CSCO_1D.csv,ok
CSCO,5Min,43788,CSCO_5Min.csv,ok
CVNA,1D,565,CVNA_1D.csv,ok
CVNA,5Min,42115,CVNA_5Min.csv,ok
CVS,1D,565,CVS_1D.csv,ok
CVS,5Min,43613,CVS_5Min.csv,ok
CVX,1D,565,CVX_1D.csv,ok
CVX,5Min,43350,CVX_5Min.csv,ok
DAL,1D,565,DAL_1D.csv,ok
DAL,5Min,43517,DAL_5Min.csv,ok
DASH,1D,565,DASH_1D.csv,ok
DASH,5Min,42658,DASH_5Min.csv,ok
DELL,1D,565,DELL_1D.csv,ok
DELL,5Min,43274,DELL_5Min.csv,ok
DHI,1D,565,DHI_1D.csv,ok
DHI,5Min,41384,DHI_5Min.csv,ok
DIA,1D,565,DIA_1D.csv,ok
DIA,5Min,33025,DIA_5Min.csv,ok
DIS,1D,565,DIS_1D.csv,ok
DIS,5Min,43599,DIS_5Min.csv,ok
DJT,1D,565,DJT_1D.csv,ok
DJT,5Min,38786,DJT_5Min.csv,ok
DKNG,1D,565,DKNG_1D.csv,ok
DKNG,5Min,43658,DKNG_5Min.csv,ok
DLTR,1D,565,DLTR_1D.csv,ok
DLTR,5Min,41862,DLTR_5Min.csv,ok
DOCU,1D,565,DOCU_1D.csv,ok
DOCU,5Min,39784,DOCU_5Min.csv,ok
DTCR,1D,565,DTCR_1D.csv,ok
DTCR,5Min,8134,DTCR_5Min.csv,ok
DVN,1D,565,DVN_1D.csv,ok
DVN,5Min,43493,DVN_5Min.csv,ok
EBAY,1D,565,EBAY_1D.csv,ok
EBAY,5Min,43354,EBAY_5Min.csv,ok
EDC,1D,565,EDC_1D.csv,ok
EDC,5Min,2539,EDC_5Min.csv,ok
ENPH,1D,565,ENPH_1D.csv,ok
ENPH,5Min,42721,ENPH_5Min.csv,ok
EOG,1D,565,EOG_1D.csv,ok
EOG,5Min,42111,EOG_5Min.csv,ok
EOSE,1D,565,EOSE_1D.csv,ok
EOSE,5Min,39848,EOSE_5Min.csv,ok
ETHU,1D,459,ETHU_1D.csv,ok
ETHU,5Min,0,,error: 't'
ETOR,1D,223,ETOR_1D.csv,ok
ETOR,5Min,0,,error: 't'
ETSY,1D,565,ETSY_1D.csv,ok
ETSY,5Min,42775,ETSY_5Min.csv,ok
EURL,1D,565,EURL_1D.csv,ok
EURL,5Min,1244,EURL_5Min.csv,ok
EZJ,1D,565,EZJ_1D.csv,ok
EZJ,5Min,0,,error: 't'
EZU,1D,565,EZU_1D.csv,ok
EZU,5Min,30594,EZU_5Min.csv,ok
FAZ,1D,565,FAZ_1D.csv,ok
FAZ,5Min,27055,FAZ_5Min.csv,ok
FCG,1D,565,FCG_1D.csv,ok
FCG,5Min,16118,FCG_5Min.csv,ok
FIG,1D,170,FIG_1D.csv,ok
FIG,5Min,0,,error: 't'
FSLY,1D,565,FSLY_1D.csv,ok
FSLY,5Min,39643,FSLY_5Min.csv,ok
FTXH,1D,565,FTXH_1D.csv,ok
FTXH,5Min,190,FTXH_5Min.csv,ok
FUBO,1D,565,FUBO_1D.csv,ok
FUBO,5Min,39903,FUBO_5Min.csv,ok
GE,1D,565,GE_1D.csv,ok
GE,5Min,43071,GE_5Min.csv,ok
GEMI,1D,140,GEMI_1D.csv,ok
GEMI,5Min,0,,error: 't'
GILD,1D,565,GILD_1D.csv,ok
GILD,5Min,43399,GILD_5Min.csv,ok
GLD,1D,565,GLD_1D.csv,ok
GLD,5Min,42099,GLD_5Min.csv,ok
GM,1D,565,GM_1D.csv,ok
GM,5Min,43717,GM_5Min.csv,ok
GME,1D,565,GME_1D.csv,ok
GME,5Min,42125,GME_5Min.csv,ok
GOLD,1D,565,GOLD_1D.csv,ok
GOLD,5Min,15529,GOLD_5Min.csv,ok
GOOGL,1D,565,GOOGL_1D.csv,ok
GOOGL,5Min,44392,GOOGL_5Min.csv,ok
GS,1D,565,GS_1D.csv,ok
GS,5Min,36978,GS_5Min.csv,ok
HAL,1D,565,HAL_1D.csv,ok
HAL,5Min,43678,HAL_5Min.csv,ok
HD,1D,565,HD_1D.csv,ok
HD,5Min,41641,HD_5Min.csv,ok
HIMS,1D,565,HIMS_1D.csv,ok
HIMS,5Min,43544,HIMS_5Min.csv,ok
HON,1D,565,HON_1D.csv,ok
HON,5Min,40948,HON_5Min.csv,ok
HOOD,1D,565,HOOD_1D.csv,ok
HOOD,5Min,44264,HOOD_5Min.csv,ok
IBB,1D,565,IBB_1D.csv,ok
IBB,5Min,34665,IBB_5Min.csv,ok
IBKR,1D,565,IBKR_1D.csv,ok
IBKR,5Min,38012,IBKR_5Min.csv,ok
IBOT,1D,565,IBOT_1D.csv,ok
IBOT,5Min,0,,error: 't'
ICLN,1D,565,ICLN_1D.csv,ok
ICLN,5Min,34177,ICLN_5Min.csv,ok
IGV,1D,565,IGV_1D.csv,ok
IGV,5Min,40895,IGV_5Min.csv,ok
IHE,1D,565,IHE_1D.csv,ok
IHE,5Min,2890,IHE_5Min.csv,ok
INDL,1D,565,INDL_1D.csv,ok
INDL,5Min,1370,INDL_5Min.csv,ok
INTC,1D,565,INTC_1D.csv,ok
INTC,5Min,46375,INTC_5Min.csv,ok
IONQ,1D,565,IONQ_1D.csv,ok
IONQ,5Min,42407,IONQ_5Min.csv,ok
IPO,1D,565,IPO_1D.csv,ok
IPO,5Min,1811,IPO_5Min.csv,ok
IREN,1D,565,IREN_1D.csv,ok
IREN,5Min,42516,IREN_5Min.csv,ok
ITA,1D,565,ITA_1D.csv,ok
ITA,5Min,17282,ITA_5Min.csv,ok
ITB,1D,565,ITB_1D.csv,ok
ITB,5Min,34809,ITB_5Min.csv,ok
IWC,1D,565,IWC_1D.csv,ok
IWC,5Min,2662,IWC_5Min.csv,ok
IWM,1D,565,IWM_1D.csv,ok
IWM,5Min,46363,IWM_5Min.csv,ok
JD,1D,565,JD_1D.csv,ok
JD,5Min,43845,JD_5Min.csv,ok
JETS,1D,565,JETS_1D.csv,ok
JETS,5Min,36374,JETS_5Min.csv,ok
JNJ,1D,565,JNJ_1D.csv,ok
JNJ,5Min,43308,JNJ_5Min.csv,ok
JPM,1D,565,JPM_1D.csv,ok
JPM,5Min,43244,JPM_5Min.csv,ok
KORU,1D,565,KORU_1D.csv,ok
KORU,5Min,5864,KORU_5Min.csv,ok
KRE,1D,565,KRE_1D.csv,ok
KRE,5Min,43719,KRE_5Min.csv,ok
KTOS,1D,565,KTOS_1D.csv,ok
KTOS,5Min,36003,KTOS_5Min.csv,ok
KWEB,1D,565,KWEB_1D.csv,ok
KWEB,5Min,43696,KWEB_5Min.csv,ok
LEN,1D,565,LEN_1D.csv,ok
LEN,5Min,40732,LEN_5Min.csv,ok
LI,1D,565,LI_1D.csv,ok
LI,5Min,42856,LI_5Min.csv,ok
LLY,1D,565,LLY_1D.csv,ok
LLY,5Min,40112,LLY_5Min.csv,ok
LULU,1D,565,LULU_1D.csv,ok
LULU,5Min,40039,LULU_5Min.csv,ok
LUNR,1D,565,LUNR_1D.csv,ok
LUNR,5Min,38198,LUNR_5Min.csv,ok
LYFT,1D,565,LYFT_1D.csv,ok
LYFT,5Min,43708,LYFT_5Min.csv,ok
M,1D,565,M_1D.csv,ok
M,5Min,42940,M_5Min.csv,ok
MAGS,1D,565,MAGS_1D.csv,ok
MAGS,5Min,21238,MAGS_5Min.csv,ok
MARA,1D,565,MARA_1D.csv,ok
MARA,5Min,47448,MARA_5Min.csv,ok
MEME,1D,122,MEME_1D.csv,ok
MEME,5Min,0,,error: 't'
META,1D,565,META_1D.csv,ok
META,5Min,43823,META_5Min.csv,ok
MEXX,1D,565,MEXX_1D.csv,ok
MEXX,5Min,3489,MEXX_5Min.csv,ok
MMM,1D,565,MMM_1D.csv,ok
MMM,5Min,41401,MMM_5Min.csv,ok
MP,1D,565,MP_1D.csv,ok
MP,5Min,41818,MP_5Min.csv,ok
MRK,1D,565,MRK_1D.csv,ok
MRK,5Min,43559,MRK_5Min.csv,ok
MRNA,1D,565,MRNA_1D.csv,ok
MRNA,5Min,42776,MRNA_5Min.csv,ok
MRVL,1D,565,MRVL_1D.csv,ok
MRVL,5Min,43850,MRVL_5Min.csv,ok
MS,1D,565,MS_1D.csv,ok
MS,5Min,43358,MS_5Min.csv,ok
MSFT,1D,565,MSFT_1D.csv,ok
MSFT,5Min,44131,MSFT_5Min.csv,ok
MU,1D,565,MU_1D.csv,ok
MU,5Min,44160,MU_5Min.csv,ok
NCLH,1D,565,NCLH_1D.csv,ok
NCLH,5Min,43689,NCLH_5Min.csv,ok
NET,1D,565,NET_1D.csv,ok
NET,5Min,41058,NET_5Min.csv,ok
NFLX,1D,565,NFLX_1D.csv,ok
NFLX,5Min,40282,NFLX_5Min.csv,ok
NIO,1D,565,NIO_1D.csv,ok
NIO,5Min,46907,NIO_5Min.csv,ok
NKE,1D,565,NKE_1D.csv,ok
NKE,5Min,43761,NKE_5Min.csv,ok
NLR,1D,565,NLR_1D.csv,ok
NLR,5Min,13159,NLR_5Min.csv,ok
NNE,1D,477,NNE_1D.csv,ok
NNE,5Min,0,,error: 't'
NRG,1D,565,NRG_1D.csv,ok
NRG,5Min,41307,NRG_5Min.csv,ok
NVDA,1D,565,NVDA_1D.csv,ok
NVDA,5Min,47024,NVDA_5Min.csv,ok
NVO,1D,565,NVO_1D.csv,ok
NVO,5Min,42766,NVO_5Min.csv,ok
OIH,1D,565,OIH_1D.csv,ok
OIH,5Min,24101,OIH_5Min.csv,ok
OKLO,1D,565,OKLO_1D.csv,ok
OKLO,5Min,37454,OKLO_5Min.csv,ok
OPEN,1D,565,OPEN_1D.csv,ok
OPEN,5Min,45075,OPEN_5Min.csv,ok
ORCL,1D,565,ORCL_1D.csv,ok
ORCL,5Min,44070,ORCL_5Min.csv,ok
OSCR,1D,565,OSCR_1D.csv,ok
OSCR,5Min,42452,OSCR_5Min.csv,ok
OXY,1D,565,OXY_1D.csv,ok
OXY,5Min,43497,OXY_5Min.csv,ok
PALL,1D,565,PALL_1D.csv,ok
PALL,5Min,7755,PALL_5Min.csv,ok
PANW,1D,565,PANW_1D.csv,ok
PANW,5Min,42015,PANW_5Min.csv,ok
PATH,1D,565,PATH_1D.csv,ok
PATH,5Min,43520,PATH_5Min.csv,ok
PBW,1D,565,PBW_1D.csv,ok
PBW,5Min,18125,PBW_5Min.csv,ok
PDD,1D,565,PDD_1D.csv,ok
PDD,5Min,43450,PDD_5Min.csv,ok
PENN,1D,565,PENN_1D.csv,ok
PENN,5Min,42811,PENN_5Min.csv,ok
PEP,1D,565,PEP_1D.csv,ok
PEP,5Min,43206,PEP_5Min.csv,ok
PG,1D,565,PG_1D.csv,ok
PG,5Min,43209,PG_5Min.csv,ok
PL,1D,565,PL_1D.csv,ok
PL,5Min,36074,PL_5Min.csv,ok
PLTR,1D,565,PLTR_1D.csv,ok
PLTR,5Min,45005,PLTR_5Min.csv,ok
PLUG,1D,565,PLUG_1D.csv,ok
PLUG,5Min,46465,PLUG_5Min.csv,ok
PPH,1D,565,PPH_1D.csv,ok
PPH,5Min,11193,PPH_5Min.csv,ok
PSX,1D,565,PSX_1D.csv,ok
PSX,5Min,41895,PSX_5Min.csv,ok
QBTS,1D,565,QBTS_1D.csv,ok
QBTS,5Min,37891,QBTS_5Min.csv,ok
QCOM,1D,565,QCOM_1D.csv,ok
QCOM,5Min,43580,QCOM_5Min.csv,ok
QQQ,1D,565,QQQ_1D.csv,ok
QQQ,5Min,50528,QQQ_5Min.csv,ok
QTUM,1D,565,QTUM_1D.csv,ok
QTUM,5Min,9391,QTUM_5Min.csv,ok
QUBT,1D,565,QUBT_1D.csv,ok
QUBT,5Min,31981,QUBT_5Min.csv,ok
RBLX,1D,565,RBLX_1D.csv,ok
RBLX,5Min,43518,RBLX_5Min.csv,ok
RCAT,1D,565,RCAT_1D.csv,ok
RCAT,5Min,30918,RCAT_5Min.csv,ok
RDDT,1D,510,RDDT_1D.csv,ok
RDDT,5Min,0,,error: 't'
RGTI,1D,565,RGTI_1D.csv,ok
RGTI,5Min,40903,RGTI_5Min.csv,ok
RILY,1D,565,RILY_1D.csv,ok
RILY,5Min,26043,RILY_5Min.csv,ok
RIOT,1D,565,RIOT_1D.csv,ok
RIOT,5Min,45219,RIOT_5Min.csv,ok
RIVN,1D,565,RIVN_1D.csv,ok
RIVN,5Min,44091,RIVN_5Min.csv,ok
RKLB,1D,565,RKLB_1D.csv,ok
RKLB,5Min,42654,RKLB_5Min.csv,ok
RKT,1D,565,RKT_1D.csv,ok
RKT,5Min,41476,RKT_5Min.csv,ok
ROKU,1D,565,ROKU_1D.csv,ok
ROKU,5Min,41230,ROKU_5Min.csv,ok
RR,1D,565,RR_1D.csv,ok
RR,5Min,28084,RR_5Min.csv,ok
RTX,1D,565,RTX_1D.csv,ok
RTX,5Min,42787,RTX_5Min.csv,ok
RUM,1D,565,RUM_1D.csv,ok
RUM,5Min,34667,RUM_5Min.csv,ok
RUN,1D,565,RUN_1D.csv,ok
RUN,5Min,43614,RUN_5Min.csv,ok
SCHW,1D,565,SCHW_1D.csv,ok
SCHW,5Min,43602,SCHW_5Min.csv,ok
SERV,1D,491,SERV_1D.csv,ok
SERV,5Min,0,,error: 't'
SHOP,1D,565,SHOP_1D.csv,ok
SHOP,5Min,43495,SHOP_5Min.csv,ok
SLB,1D,565,SLB_1D.csv,ok
SLB,5Min,43711,SLB_5Min.csv,ok
SLV,1D,565,SLV_1D.csv,ok
SLV,5Min,43125,SLV_5Min.csv,ok
SMCI,1D,565,SMCI_1D.csv,ok
SMCI,5Min,42572,SMCI_5Min.csv,ok
SMH,1D,565,SMH_1D.csv,ok
SMH,5Min,42515,SMH_5Min.csv,ok
SMR,1D,565,SMR_1D.csv,ok
SMR,5Min,41974,SMR_5Min.csv,ok
SNAP,1D,565,SNAP_1D.csv,ok
SNAP,5Min,45185,SNAP_5Min.csv,ok
SNDK,1D,285,SNDK_1D.csv,ok
SNDK,5Min,0,,error: 't'
SNOW,1D,565,SNOW_1D.csv,ok
SNOW,5Min,42954,SNOW_5Min.csv,ok
SOFI,1D,565,SOFI_1D.csv,ok
SOFI,5Min,44649,SOFI_5Min.csv,ok
SOUN,1D,565,SOUN_1D.csv,ok
SOUN,5Min,44673,SOUN_5Min.csv,ok
SOXS,1D,565,SOXS_1D.csv,ok
SOXS,5Min,48729,SOXS_5Min.csv,ok
SOXX,1D,565,SOXX_1D.csv,ok
SOXX,5Min,39764,SOXX_5Min.csv,ok
SPX,1D,0,,error: 't'
SPY,1D,565,SPY_1D.csv,ok
SPY,5Min,46344,SPY_5Min.csv,ok
SQQQ,1D,565,SQQQ_1D.csv,ok
SQQQ,5Min,53005,SQQQ_5Min.csv,ok
TAN,1D,565,TAN_1D.csv,ok
TAN,5Min,29922,TAN_5Min.csv,ok
TEM,1D,451,TEM_1D.csv,ok
TEM,5Min,0,,error: 't'
TGT,1D,565,TGT_1D.csv,ok
TGT,5Min,43019,TGT_5Min.csv,ok
TIGR,1D,565,TIGR_1D.csv,ok
TIGR,5Min,33513,TIGR_5Min.csv,ok
TSLA,1D,565,TSLA_1D.csv,ok
TSLA,5Min,45424,TSLA_5Min.csv,ok
TSM,1D,565,TSM_1D.csv,ok
TSM,5Min,44290,TSM_5Min.csv,ok
U,1D,565,U_1D.csv,ok
U,5Min,43620,U_5Min.csv,ok
UAL,1D,565,UAL_1D.csv,ok
UAL,5Min,43237,UAL_5Min.csv,ok
UBER,1D,565,UBER_1D.csv,ok
UBER,5Min,43790,UBER_5Min.csv,ok
UFO,1D,565,UFO_1D.csv,ok
UFO,5Min,3977,UFO_5Min.csv,ok
UNH,1D,565,UNH_1D.csv,ok
UNH,5Min,42897,UNH_5Min.csv,ok
UPST,1D,565,UPST_1D.csv,ok
UPST,5Min,41036,UPST_5Min.csv,ok
VLO,1D,565,VLO_1D.csv,ok
VLO,5Min,41511,VLO_5Min.csv,ok
VRT,1D,565,VRT_1D.csv,ok
VRT,5Min,43447,VRT_5Min.csv,ok
VST,1D,565,VST_1D.csv,ok
VST,5Min,43196,VST_5Min.csv,ok
WMT,1D,565,WMT_1D.csv,ok
WMT,5Min,43710,WMT_5Min.csv,ok
XBI,1D,565,XBI_1D.csv,ok
XBI,5Min,44088,XBI_5Min.csv,ok
XHB,1D,565,XHB_1D.csv,ok
XHB,5Min,38460,XHB_5Min.csv,ok
XLE,1D,565,XLE_1D.csv,ok
XLE,5Min,43817,XLE_5Min.csv,ok
XLF,1D,565,XLF_1D.csv,ok
XLF,5Min,43956,XLF_5Min.csv,ok
XLI,1D,565,XLI_1D.csv,ok
XLI,5Min,43424,XLI_5Min.csv,ok
XLK,1D,565,XLK_1D.csv,ok
XLK,5Min,41160,XLK_5Min.csv,ok
XLP,1D,565,XLP_1D.csv,ok
XLP,5Min,43507,XLP_5Min.csv,ok
XLV,1D,565,XLV_1D.csv,ok
XLV,5Min,43234,XLV_5Min.csv,ok
XOM,1D,565,XOM_1D.csv,ok
XOM,5Min,43729,XOM_5Min.csv,ok
XOP,1D,565,XOP_1D.csv,ok
XOP,5Min,39424,XOP_5Min.csv,ok
XPEV,1D,565,XPEV_1D.csv,ok
XPEV,5Min,43312,XPEV_5Min.csv,ok
YANG,1D,565,YANG_1D.csv,ok
YANG,5Min,22542,YANG_5Min.csv,ok
Z,1D,565,Z_1D.csv,ok
Z,5Min,41219,Z_5Min.csv,ok
ZETA,1D,565,ZETA_1D.csv,ok
ZETA,5Min,41540,ZETA_5Min.csv,ok
ZM,1D,565,ZM_1D.csv,ok
ZM,5Min,41377,ZM_5Min.csv,ok
ZS,1D,565,ZS_1D.csv,ok
ZS,5Min,38781,ZS_5Min.csv,ok
